65	21/02/2019 02:45	A	3	7.66	596.0	21-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
66	21/02/2019 06:00	A	3	7.66	595.9	21-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
67	21/02/2019 08:00	A	3	7.67	595.6	21-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
68	21/02/2019 10:00	A	3	7.67	595.6	21-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
69	21/02/2019 11:15	B	2	7.67	609.8	21-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
70	21/02/2019 13:30	A	3	7.65	595.9	21-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
71	21/02/2019 15:00	B	2	7.67	609.4	21-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
72	21/02/2019 17:15	A	3	7.65	595.6	21-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
73	21/02/2019 20:15	A	3	7.65	595.2	22-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
74	21/02/2019 23:15	A	3	7.66	594.9	22-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
75	22/02/2019 00:15	A	3	7.67	595.4	22-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
76	22/02/2019 03:00	A	3	7.67	595.1	22-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
77	22/02/2019 04:15	A	3	7.68	595.2	22-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
78	22/02/2019 08:30	B	2	7.68	613.8	22-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
79	22/02/2019 11:30	A	3	7.67	595.5	22-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
80	22/02/2019 11:30	B	2	7.68	610.1	22-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
81	22/02/2019 13:15	B	2	7.66	610.4	22-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
82	22/02/2019 16:00	A	3	7.66	595.4	22-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
83	22/02/2019 17:30	B	2	7.67	609.2	22-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
84	22/02/2019 19:00	A	3	7.66	594.9	22-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
85	22/02/2019 21:45	A	3	7.67	594.8	23-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
86	22/02/2019 23:45	B	2	7.69	609.9	23-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
87	23/02/2019 00:45	A	3	7.68	594.4	23-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
88	23/02/2019 02:30	B	2	7.69	609.5	23-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
89	23/02/2019 04:30	A	3	7.69	593.8	23-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
90	23/02/2019 07:45	A	3	7.69	594.9	23-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
91	23/02/2019 09:15	B	2	7.69	609.1	23-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
92	23/02/2019 10:30	A	3	7.68	594.0	23-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
93	23/02/2019 14:00	B	2	7.68	609.4	23-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
94	23/02/2019 14:00	A	3	7.66	594.6	23-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
95	23/02/2019 15:45	A	3	7.66	594.2	23-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
96	23/02/2019 18:15	B	2	7.68	609.6	23-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
97	23/02/2019 19:30	A	3	7.66	594.8	23-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
98	23/02/2019 22:15	A	3	7.67	594.5	24-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
99	23/02/2019 23:45	B	2	7.69	609.1	24-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
